country_code,customer_id,paperless_date,invoice_number,invoice_date,due_date,invoice_amount,disputed,settled_date,paperless_bill,days_to_settle,days_late,payment_status,payment_delay_band,invoice_month,payment_delay _sort
770,3831-FXWYK,2013-03-08,93006859,2012-12-24,2013-01-23,24.46,No,2013-01-31,Paper,38,8,Late,8–14 Days Late,2012-12-01,3
406,2621-XCLEH,2012-09-24,97717897,2013-03-31,2013-04-30,70.93,Yes,2013-05-25,Electronic,55,25,Late,15–30 Days Late,2013-03-01,4
818,8887-NCUZC,2013-01-22,101415601,2012-05-31,2012-06-30,40.07,No,2012-07-04,Paper,34,4,Late,1–7 Days Late,2012-05-01,2
897,9286-VLKMI,2013-02-13,101747306,2013-05-27,2013-06-26,58.19,No,2013-05-29,Electronic,2,0,On Time,On Time,2013-05-01,1
406,6833-ETVHD,2012-04-30,103483331,2012-07-27,2012-08-26,72.13,No,2012-08-18,Electronic,22,0,On Time,On Time,2012-07-01,1
391,6160-HCSFI,2013-01-10,104628267,2012-01-13,2012-02-12,72.72,No,2012-02-04,Paper,22,0,On Time,On Time,2012-01-01,1
391,1080-NDGAE,2012-09-28,106360977,2012-02-19,2012-03-20,93.48,Yes,2012-03-26,Paper,36,6,Late,1–7 Days Late,2012-02-01,2
897,6296-UKEUZ,2012-11-26,106486147,2013-09-21,2013-10-21,46.55,No,2013-09-25,Electronic,4,0,On Time,On Time,2013-09-01,1
770,6831-FIODB,2013-05-08,110122785,2012-10-23,2012-11-22,32.58,No,2012-11-30,Paper,38,8,Late,8–14 Days Late,2012-10-01,3
897,6296-UKEUZ,2012-11-26,120364375,2013-04-23,2013-05-23,34.63,No,2013-04-24,Electronic,1,0,On Time,On Time,2013-04-01,1
818,5148-SYKLB,2013-08-28,121797094,2012-09-28,2012-10-28,89.15,No,2012-10-30,Paper,32,2,Late,1–7 Days Late,2012-09-01,2
391,0379-NEVHP,2013-04-06,122662308,2013-08-05,2013-09-04,43.64,No,2013-08-21,Electronic,16,0,On Time,On Time,2013-08-01,1
770,7758-WKLVM,2012-02-06,123645023,2012-12-22,2013-01-21,44.36,No,2013-01-24,Electronic,33,3,Late,1–7 Days Late,2012-12-01,2
770,3993-QUNVJ,2012-12-31,131216793,2013-02-01,2013-03-03,56.65,No,2013-02-05,Electronic,4,0,On Time,On Time,2013-02-01,1
391,9174-IYKOC,2012-11-27,135429278,2012-08-02,2012-09-01,58.2,No,2012-08-24,Paper,22,0,On Time,On Time,2012-08-01,1
391,2676-DZINU,2012-10-19,145315244,2013-08-19,2013-09-18,83.05,No,2013-09-06,Electronic,18,0,On Time,On Time,2013-08-01,1
391,9014-WENVB,2013-08-03,152050637,2013-02-13,2013-03-15,60.03,No,2013-03-11,Paper,26,0,On Time,On Time,2013-02-01,1
406,6833-ETVHD,2012-04-30,152808559,2012-09-11,2012-10-11,59.01,No,2012-09-29,Electronic,18,0,On Time,On Time,2012-09-01,1
406,1447-YZKCL,2012-08-10,173814675,2013-04-27,2013-05-27,66.85,No,2013-05-27,Electronic,30,0,On Time,On Time,2013-04-01,1
818,8364-UWVLM,2012-11-10,176356154,2012-08-20,2012-09-19,78.83,Yes,2012-10-03,Paper,44,14,Late,8–14 Days Late,2012-08-01,3
770,9323-NDIOV,2012-07-09,176953642,2013-09-10,2013-10-10,65,No,2013-10-17,Electronic,37,7,Late,1–7 Days Late,2013-09-01,2
391,5920-DPXLN,2012-11-11,176959210,2012-08-30,2012-09-29,57.18,No,2012-09-19,Paper,20,0,On Time,On Time,2012-08-01,1
391,6708-DPYTF,2012-08-02,180192586,2012-08-02,2012-09-01,74.65,No,2012-09-18,Paper,47,17,Late,15–30 Days Late,2012-08-01,4
391,9014-WENVB,2013-08-03,186123387,2012-06-09,2012-07-09,59.85,No,2012-07-08,Paper,29,0,On Time,On Time,2012-06-01,1
406,4632-QZOKX,2013-03-19,186768686,2012-06-10,2012-07-10,40.54,Yes,2012-07-11,Paper,31,1,Late,1–7 Days Late,2012-06-01,2
391,2125-HJDLA,2012-05-22,189882917,2012-09-03,2012-10-03,51.44,No,2012-10-17,Electronic,44,14,Late,8–14 Days Late,2012-09-01,3
770,5592-UQXSS,2012-12-31,190687025,2013-07-15,2013-08-14,28.43,No,2013-08-02,Electronic,18,0,On Time,On Time,2013-07-01,1
406,9725-EZTEJ,2012-03-17,195093797,2013-11-02,2013-12-02,78.73,Yes,2013-12-04,Electronic,32,2,Late,1–7 Days Late,2013-11-01,2
897,6177-VTITE,2012-10-26,195359114,2012-08-29,2012-09-28,56.26,Yes,2012-09-21,Paper,23,0,On Time,On Time,2012-08-01,1
391,5529-TBPGK,2013-08-09,202519703,2013-02-10,2013-03-12,77.26,No,2013-03-13,Paper,31,1,Late,1–7 Days Late,2013-02-01,2
406,4640-FGEJI,2013-04-04,203036054,2012-09-23,2012-10-23,64.6,No,2012-10-15,Paper,22,0,On Time,On Time,2012-09-01,1
406,5284-DJOZO,2012-09-11,204757285,2012-01-13,2012-02-12,54.44,No,2012-01-27,Paper,14,0,On Time,On Time,2012-01-01,1
897,0688-XNJRO,2012-06-24,206372278,2013-08-14,2013-09-13,49.04,No,2013-09-21,Electronic,38,8,Late,8–14 Days Late,2013-08-01,3
406,8389-TCXFQ,2012-08-24,208940420,2013-12-01,2013-12-31,70.45,Yes,2014-01-04,Electronic,34,4,Late,1–7 Days Late,2013-12-01,2
391,8820-BLYDZ,2013-03-19,213324193,2012-10-13,2012-11-12,66.12,No,2012-10-22,Paper,9,0,On Time,On Time,2012-10-01,1
391,9174-IYKOC,2012-11-27,217272343,2013-09-22,2013-10-22,49.88,Yes,2013-10-23,Electronic,31,1,Late,1–7 Days Late,2013-09-01,2
391,3569-VJWXS,2013-04-09,218034886,2013-02-01,2013-03-03,38.64,No,2013-03-05,Paper,32,2,Late,1–7 Days Late,2013-02-01,2
770,7050-KQLDO,2012-09-29,222477564,2012-03-08,2012-04-07,65.7,Yes,2012-04-09,Paper,32,2,Late,1–7 Days Late,2012-03-01,2
818,5924-UOPGH,2013-06-06,232048622,2012-03-14,2012-04-13,67.6,No,2012-04-11,Paper,28,0,On Time,On Time,2012-03-01,1
391,9174-IYKOC,2012-11-27,237437528,2012-12-09,2013-01-08,35.69,Yes,2013-01-15,Electronic,37,7,Late,1–7 Days Late,2012-12-01,2
391,1080-NDGAE,2012-09-28,246081324,2012-09-06,2012-10-06,92.53,Yes,2012-10-13,Paper,37,7,Late,1–7 Days Late,2012-09-01,2
897,9286-VLKMI,2013-02-13,254550541,2012-12-28,2013-01-27,61.59,No,2013-01-08,Paper,11,0,On Time,On Time,2012-12-01,1
406,4640-FGEJI,2013-04-04,261246477,2013-10-20,2013-11-19,94.47,No,2013-11-05,Electronic,16,0,On Time,On Time,2013-10-01,1
391,9174-IYKOC,2012-11-27,263678657,2012-09-10,2012-10-10,38,No,2012-10-11,Paper,31,1,Late,1–7 Days Late,2012-09-01,2
391,8156-PCYBM,2012-03-03,270702396,2012-10-31,2012-11-30,50.24,No,2012-11-25,Electronic,25,0,On Time,On Time,2012-10-01,1
818,5924-UOPGH,2013-06-06,273425635,2012-02-07,2012-03-08,113.76,Yes,2012-03-19,Paper,41,11,Late,8–14 Days Late,2012-02-01,3
406,4092-ZAVRG,2012-05-19,274057720,2012-05-07,2012-06-06,50.96,No,2012-05-13,Paper,6,0,On Time,On Time,2012-05-01,1
770,9928-IJYBQ,2012-03-18,277331044,2012-11-02,2012-12-02,73.25,No,2012-11-26,Electronic,24,0,On Time,On Time,2012-11-01,1
770,3993-QUNVJ,2012-12-31,280670965,2012-01-03,2012-02-02,50.39,No,2012-01-23,Paper,20,0,On Time,On Time,2012-01-01,1
391,0379-NEVHP,2013-04-06,281287578,2012-10-28,2012-11-27,76.81,No,2012-11-19,Paper,22,0,On Time,On Time,2012-10-01,1
897,6177-VTITE,2012-10-26,282342168,2012-02-06,2012-03-07,63.28,No,2012-02-20,Paper,14,0,On Time,On Time,2012-02-01,1
406,6048-QPZCF,2012-07-13,284482411,2013-02-14,2013-03-16,87.9,Yes,2013-03-17,Electronic,31,1,Late,1–7 Days Late,2013-02-01,2
897,1408-OQZUE,2012-09-14,285510254,2012-04-05,2012-05-05,27.05,No,2012-05-28,Paper,53,23,Late,15–30 Days Late,2012-04-01,4
897,8690-EEBEO,2012-12-05,286008070,2013-02-26,2013-03-28,53.45,No,2013-03-31,Electronic,33,3,Late,1–7 Days Late,2013-02-01,2
406,8389-TCXFQ,2012-08-24,287254498,2012-01-22,2012-02-21,72.49,No,2012-02-21,Paper,30,0,On Time,On Time,2012-01-01,1
406,4092-ZAVRG,2012-05-19,291694356,2013-02-27,2013-03-29,69.65,Yes,2013-03-11,Electronic,12,0,On Time,On Time,2013-02-01,1
406,7600-OISKG,2013-07-19,296503272,2012-07-03,2012-08-02,61.25,Yes,2012-08-07,Paper,35,5,Late,1–7 Days Late,2012-07-01,2
770,7758-WKLVM,2012-02-06,298536056,2013-03-12,2013-04-11,70.85,Yes,2013-05-06,Electronic,55,25,Late,15–30 Days Late,2013-03-01,4
897,6177-VTITE,2012-10-26,299012002,2013-11-29,2013-12-29,41.97,No,2013-12-13,Electronic,14,0,On Time,On Time,2013-11-01,1
770,7856-ODQFO,2012-08-05,300108731,2013-11-30,2013-12-30,49.71,Yes,2014-01-06,Electronic,37,7,Late,1–7 Days Late,2013-11-01,2
391,5196-TWQXF,2012-06-20,302496633,2012-07-04,2012-08-03,72.65,No,2012-07-26,Electronic,22,0,On Time,On Time,2012-07-01,1
406,6048-QPZCF,2012-07-13,308536412,2012-11-25,2012-12-25,73.73,No,2012-12-01,Electronic,6,0,On Time,On Time,2012-11-01,1
406,3448-OWJOT,2012-09-15,312361525,2012-07-05,2012-08-04,66.13,Yes,2012-08-13,Paper,39,9,Late,8–14 Days Late,2012-07-01,3
406,5284-DJOZO,2012-09-11,320318018,2013-03-23,2013-04-22,80.71,No,2013-03-24,Electronic,1,0,On Time,On Time,2013-03-01,1
406,5284-DJOZO,2012-09-11,321937283,2013-05-25,2013-06-24,72.85,Yes,2013-06-08,Electronic,14,0,On Time,On Time,2013-05-01,1
818,3568-JJMFW,2012-01-09,326671411,2012-12-27,2013-01-26,88.5,Yes,2013-01-18,Electronic,22,0,On Time,On Time,2012-12-01,1
391,7841-HROAQ,2013-09-15,329307404,2012-08-02,2012-09-01,68.53,Yes,2012-09-09,Paper,38,8,Late,8–14 Days Late,2012-08-01,3
818,5613-UHVMG,2012-05-31,333420180,2013-11-10,2013-12-10,60.6,Yes,2013-12-12,Electronic,32,2,Late,1–7 Days Late,2013-11-01,2
818,3271-HYHDN,2013-04-28,354407690,2013-04-12,2013-05-12,45.56,No,2013-04-17,Paper,5,0,On Time,On Time,2013-04-01,1
770,2447-JCFGW,2012-07-31,355095997,2012-12-12,2013-01-11,31.38,No,2013-01-05,Electronic,24,0,On Time,On Time,2012-12-01,1
391,3598-DNURW,2012-08-29,360452276,2012-01-30,2012-02-29,56.37,No,2012-02-20,Paper,21,0,On Time,On Time,2012-01-01,1
818,3271-HYHDN,2013-04-28,367399005,2013-08-10,2013-09-09,58.78,No,2013-08-10,Electronic,0,0,On Time,On Time,2013-08-01,1
406,4092-ZAVRG,2012-05-19,368163381,2013-08-23,2013-09-22,62.68,Yes,2013-09-11,Electronic,19,0,On Time,On Time,2013-08-01,1
770,7050-KQLDO,2012-09-29,371943035,2013-10-24,2013-11-23,76.69,No,2013-11-15,Electronic,22,0,On Time,On Time,2013-10-01,1
391,5196-TWQXF,2012-06-20,374328279,2013-07-08,2013-08-07,60,No,2013-08-02,Electronic,25,0,On Time,On Time,2013-07-01,1
770,7856-ODQFO,2012-08-05,374625254,2013-04-03,2013-05-03,37.82,No,2013-04-25,Electronic,22,0,On Time,On Time,2013-04-01,1
897,9250-VHLWY,2013-06-03,374628242,2013-05-09,2013-06-08,29.93,No,2013-05-28,Paper,19,0,On Time,On Time,2013-05-01,1
391,2125-HJDLA,2012-05-22,380292674,2013-03-02,2013-04-01,26.83,No,2013-04-10,Electronic,39,9,Late,8–14 Days Late,2013-03-01,3
897,8942-ERSWK,2013-01-11,381841466,2013-11-12,2013-12-12,32.95,No,2013-11-15,Electronic,3,0,On Time,On Time,2013-11-01,1
391,2820-XGXSB,2012-01-26,385813290,2012-05-07,2012-06-06,73.9,No,2012-05-08,Electronic,1,0,On Time,On Time,2012-05-01,1
770,6077-FDQRK,2012-09-11,387380707,2012-08-20,2012-09-19,62.95,No,2012-09-15,Paper,26,0,On Time,On Time,2012-08-01,1
818,3568-JJMFW,2012-01-09,391669562,2012-08-08,2012-09-07,71.98,Yes,2012-09-04,Electronic,27,0,On Time,On Time,2012-08-01,1
406,7245-CKNCN,2012-06-04,401983784,2013-08-17,2013-09-16,51.6,No,2013-09-04,Electronic,18,0,On Time,On Time,2013-08-01,1
897,8942-ERSWK,2013-01-11,420999665,2013-04-21,2013-05-21,34.12,Yes,2013-05-10,Electronic,19,0,On Time,On Time,2013-04-01,1
391,3598-DNURW,2012-08-29,423629217,2012-08-09,2012-09-08,57.34,No,2012-09-03,Paper,25,0,On Time,On Time,2012-08-01,1
406,5284-DJOZO,2012-09-11,428154463,2012-05-03,2012-06-02,39.51,No,2012-05-21,Paper,18,0,On Time,On Time,2012-05-01,1
391,6708-DPYTF,2012-08-02,428957919,2012-02-13,2012-03-14,86.74,No,2012-03-30,Paper,46,16,Late,15–30 Days Late,2012-02-01,4
406,4651-PMEXQ,2012-07-04,449356610,2013-01-04,2013-02-03,77.46,No,2013-01-24,Electronic,20,0,On Time,On Time,2013-01-01,1
391,5529-TBPGK,2013-08-09,451448142,2012-11-20,2012-12-20,55.81,No,2012-12-15,Paper,25,0,On Time,On Time,2012-11-01,1
406,7245-CKNCN,2012-06-04,472551457,2013-07-20,2013-08-19,66.28,No,2013-08-04,Electronic,15,0,On Time,On Time,2013-07-01,1
391,0379-NEVHP,2013-04-06,476918544,2013-02-14,2013-03-16,55.21,No,2013-03-03,Paper,17,0,On Time,On Time,2013-02-01,1
391,9014-WENVB,2013-08-03,479534953,2013-04-13,2013-05-13,65.83,No,2013-06-02,Paper,50,20,Late,15–30 Days Late,2013-04-01,4
770,4460-ZXNDN,2013-06-27,485064626,2012-10-06,2012-11-05,80.31,No,2012-11-13,Paper,38,8,Late,8–14 Days Late,2012-10-01,3
770,7856-ODQFO,2012-08-05,488925270,2013-05-18,2013-06-17,40.54,No,2013-06-07,Electronic,20,0,On Time,On Time,2013-05-01,1
770,0706-NRGUP,2013-04-09,489697015,2012-04-16,2012-05-16,41.44,No,2012-05-22,Paper,36,6,Late,1–7 Days Late,2012-04-01,2
770,6831-FIODB,2013-05-08,490252754,2013-05-08,2013-06-07,36.29,No,2013-06-14,Paper,37,7,Late,1–7 Days Late,2013-05-01,2
770,2687-XWAMA,2013-04-03,493580936,2012-06-17,2012-07-17,60.22,Yes,2012-07-24,Paper,37,7,Late,1–7 Days Late,2012-06-01,2
391,9212-BTDMX,2012-04-22,496849530,2013-06-02,2013-07-02,59.71,No,2013-06-16,Electronic,14,0,On Time,On Time,2013-06-01,1
897,6296-UKEUZ,2012-11-26,497305913,2012-11-07,2012-12-07,54.74,Yes,2012-11-29,Paper,22,0,On Time,On Time,2012-11-01,1
406,6048-QPZCF,2012-07-13,498009655,2012-08-24,2012-09-23,76.34,Yes,2012-09-19,Electronic,26,0,On Time,On Time,2012-08-01,1
897,1408-OQZUE,2012-09-14,500975230,2013-04-18,2013-05-18,37.81,No,2013-05-23,Electronic,35,5,Late,1–7 Days Late,2013-04-01,2
897,6177-VTITE,2012-10-26,511851896,2012-12-26,2013-01-25,8.27,No,2013-01-06,Electronic,11,0,On Time,On Time,2012-12-01,1
391,8156-PCYBM,2012-03-03,512194602,2012-03-28,2012-04-27,64.4,No,2012-04-28,Electronic,31,1,Late,1–7 Days Late,2012-03-01,2
770,0465-DTULQ,2013-03-04,514496777,2012-09-14,2012-10-14,32.86,No,2012-10-17,Paper,33,3,Late,1–7 Days Late,2012-09-01,2
770,7228-LEPPM,2012-04-30,519700354,2012-03-09,2012-04-08,32.17,No,2012-04-18,Paper,40,10,Late,8–14 Days Late,2012-03-01,3
897,9883-SDWFS,2013-07-08,523612895,2012-04-17,2012-05-17,28.77,No,2012-05-24,Paper,37,7,Late,1–7 Days Late,2012-04-01,2
391,6632-CGYHU,2013-01-08,524611481,2012-10-05,2012-11-04,57.86,No,2012-10-23,Paper,18,0,On Time,On Time,2012-10-01,1
406,5573-KSOIA,2013-09-30,524798729,2013-10-19,2013-11-18,57.78,No,2013-11-16,Electronic,28,0,On Time,On Time,2013-10-01,1
406,5164-VMYWJ,2013-11-27,528993923,2013-02-22,2013-03-24,90.22,No,2013-03-14,Paper,20,0,On Time,On Time,2013-02-01,1
391,6160-HCSFI,2013-01-10,533597326,2012-08-20,2012-09-19,65.49,No,2012-09-12,Paper,23,0,On Time,On Time,2012-08-01,1
391,5529-TBPGK,2013-08-09,535335924,2012-07-10,2012-08-09,57.88,No,2012-08-21,Paper,42,12,Late,8–14 Days Late,2012-07-01,3
391,2676-DZINU,2012-10-19,535641538,2012-04-26,2012-05-26,65.01,No,2012-05-18,Paper,22,0,On Time,On Time,2012-04-01,1
406,2621-XCLEH,2012-09-24,537837854,2012-02-21,2012-03-22,79.51,No,2012-04-07,Paper,46,16,Late,15–30 Days Late,2012-02-01,4
406,8389-TCXFQ,2012-08-24,540061441,2013-01-30,2013-03-01,85.5,No,2013-02-13,Electronic,14,0,On Time,On Time,2013-01-01,1
897,6177-VTITE,2012-10-26,540659475,2013-02-05,2013-03-07,39.33,Yes,2013-03-06,Electronic,29,0,On Time,On Time,2013-02-01,1
770,7050-KQLDO,2012-09-29,552732928,2013-06-16,2013-07-16,62.26,No,2013-07-03,Electronic,17,0,On Time,On Time,2013-06-01,1
406,9725-EZTEJ,2012-03-17,555108669,2012-05-02,2012-06-01,116.78,Yes,2012-05-23,Electronic,21,0,On Time,On Time,2012-05-01,1
770,4460-ZXNDN,2013-06-27,557941160,2013-09-01,2013-10-01,73.77,Yes,2013-10-16,Electronic,45,15,Late,15–30 Days Late,2013-09-01,4
818,8887-NCUZC,2013-01-22,561711596,2013-04-16,2013-05-16,37.38,Yes,2013-05-21,Electronic,35,5,Late,1–7 Days Late,2013-04-01,2
818,5875-VZQCZ,2013-07-15,565497922,2012-10-30,2012-11-29,60.8,No,2012-11-24,Paper,25,0,On Time,On Time,2012-10-01,1
770,4460-ZXNDN,2013-06-27,572625167,2013-05-24,2013-06-23,102.98,No,2013-06-25,Paper,32,2,Late,1–7 Days Late,2013-05-01,2
406,4640-FGEJI,2013-04-04,572998733,2012-04-19,2012-05-19,70.02,No,2012-05-21,Paper,32,2,Late,1–7 Days Late,2012-04-01,2
897,0688-XNJRO,2012-06-24,578091983,2012-12-13,2013-01-12,36.09,No,2013-01-30,Electronic,48,18,Late,15–30 Days Late,2012-12-01,4
897,9883-SDWFS,2013-07-08,586870094,2012-03-29,2012-04-28,14.94,Yes,2012-05-13,Paper,45,15,Late,15–30 Days Late,2012-03-01,4
391,5529-TBPGK,2013-08-09,588467684,2013-03-12,2013-04-11,46.63,No,2013-04-11,Paper,30,0,On Time,On Time,2013-03-01,1
391,0709-LZRJV,2013-06-20,598324396,2012-07-07,2012-08-06,10.92,No,2012-08-16,Paper,40,10,Late,8–14 Days Late,2012-07-01,3
818,8887-NCUZC,2013-01-22,601440262,2012-05-30,2012-06-29,42.76,Yes,2012-07-09,Paper,40,10,Late,8–14 Days Late,2012-05-01,3
391,9841-XLGBV,2013-01-03,601606458,2012-10-25,2012-11-24,50.97,No,2012-11-16,Paper,22,0,On Time,On Time,2012-10-01,1
391,9212-BTDMX,2012-04-22,604769805,2013-02-21,2013-03-23,73.59,No,2013-03-01,Electronic,8,0,On Time,On Time,2013-02-01,1
770,9928-IJYBQ,2012-03-18,606876865,2013-03-09,2013-04-08,46.61,No,2013-04-16,Electronic,38,8,Late,8–14 Days Late,2013-03-01,3
406,4092-ZAVRG,2012-05-19,607578995,2012-09-28,2012-10-28,60.14,No,2012-10-04,Electronic,6,0,On Time,On Time,2012-09-01,1
391,2820-XGXSB,2012-01-26,608187073,2013-05-25,2013-06-24,56.09,No,2013-05-28,Electronic,3,0,On Time,On Time,2013-05-01,1
391,0709-LZRJV,2013-06-20,608905626,2012-09-27,2012-10-27,61.07,No,2012-10-23,Paper,26,0,On Time,On Time,2012-09-01,1
406,4640-FGEJI,2013-04-04,613092852,2013-03-07,2013-04-06,90.34,No,2013-04-08,Paper,32,2,Late,1–7 Days Late,2013-03-01,2
818,3568-JJMFW,2012-01-09,617172736,2013-04-03,2013-05-03,77.79,Yes,2013-05-03,Electronic,30,0,On Time,On Time,2013-04-01,1
818,6627-ELFBK,2012-11-26,620329407,2013-02-15,2013-03-17,76.5,Yes,2013-04-01,Electronic,45,15,Late,15–30 Days Late,2013-02-01,4
406,7938-EVASK,2012-12-15,624274413,2013-08-14,2013-09-13,44.09,No,2013-09-24,Electronic,41,11,Late,8–14 Days Late,2013-08-01,3
770,2447-JCFGW,2012-07-31,627613977,2012-04-06,2012-05-06,35.67,No,2012-05-03,Paper,27,0,On Time,On Time,2012-04-01,1
897,7654-DOLHO,2012-04-04,631345640,2013-09-19,2013-10-19,23.62,No,2013-10-13,Electronic,24,0,On Time,On Time,2013-09-01,1
770,9149-MATVB,2013-04-30,633253847,2013-04-01,2013-05-01,50.95,No,2013-04-25,Paper,24,0,On Time,On Time,2013-04-01,1
770,9149-MATVB,2013-04-30,640587193,2012-12-24,2013-01-23,64.18,No,2013-01-18,Paper,25,0,On Time,On Time,2012-12-01,1
406,4651-PMEXQ,2012-07-04,641122100,2012-11-03,2012-12-03,49.01,No,2012-11-28,Electronic,25,0,On Time,On Time,2012-11-01,1
391,1080-NDGAE,2012-09-28,641300165,2013-09-12,2013-10-12,94.57,Yes,2013-10-14,Electronic,32,2,Late,1–7 Days Late,2013-09-01,2
818,8887-NCUZC,2013-01-22,641436694,2013-02-11,2013-03-13,26.37,No,2013-03-04,Electronic,21,0,On Time,On Time,2013-02-01,1
391,7841-HROAQ,2013-09-15,642684114,2012-06-20,2012-07-20,63.36,No,2012-07-08,Paper,18,0,On Time,On Time,2012-06-01,1
391,2125-HJDLA,2012-05-22,645045061,2012-10-26,2012-11-25,43.18,No,2012-11-24,Electronic,29,0,On Time,On Time,2012-10-01,1
391,6160-HCSFI,2013-01-10,647569317,2013-10-20,2013-11-19,92.57,No,2013-11-01,Electronic,12,0,On Time,On Time,2013-10-01,1
818,8887-NCUZC,2013-01-22,649688883,2013-11-03,2013-12-03,52.14,No,2013-11-28,Electronic,25,0,On Time,On Time,2013-11-01,1
391,5920-DPXLN,2012-11-11,649771974,2013-04-26,2013-05-26,68.35,No,2013-05-07,Electronic,11,0,On Time,On Time,2013-04-01,1
818,8364-UWVLM,2012-11-10,658936368,2013-05-17,2013-06-16,69.82,No,2013-06-03,Electronic,17,0,On Time,On Time,2013-05-01,1
406,5573-KSOIA,2013-09-30,659596494,2012-12-05,2013-01-04,75.65,Yes,2013-01-14,Paper,40,10,Late,8–14 Days Late,2012-12-01,3
818,8102-ABPKQ,2013-08-29,666874152,2012-08-18,2012-09-17,57.38,Yes,2012-09-29,Paper,42,12,Late,8–14 Days Late,2012-08-01,3
391,2125-HJDLA,2012-05-22,672948510,2012-11-09,2012-12-09,57.37,No,2012-12-05,Electronic,26,0,On Time,On Time,2012-11-01,1
